Age,Gender,MaritalStatus,IncomeLevel,AmountSpent,ProductCategory,InteractionType,ResolutionStatus,LoginFrequency,ServiceUsage,ChurnStatus
19,M,Married,Low,92.54,Electronics,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,92.54,Electronics,Inquiry,Resolved,8,Online Banking,0
19,M,Married,Low,344.04,Electronics,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,344.04,Electronics,Inquiry,Resolved,8,Online Banking,0
19,M,Married,Low,431.79,Books,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,431.79,Books,Inquiry,Resolved,8,Online Banking,0
19,M,Married,Low,121.62,Furniture,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,121.62,Furniture,Inquiry,Resolved,8,Online Banking,0
19,M,Married,Low,124.02,Clothing,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,124.02,Clothing,Inquiry,Resolved,8,Online Banking,0
19,M,Married,Low,444.06,Groceries,Inquiry,Unresolved,8,Online Banking,0
19,M,Married,Low,444.06,Groceries,Inquiry,Resolved,8,Online Banking,0
56,F,Married,High,164.11,Groceries,Inquiry,Unresolved,37,Website,1
56,F,Married,High,97.23,Furniture,Inquiry,Unresolved,37,Website,1
56,F,Married,High,281.73,Books,Inquiry,Unresolved,37,Website,1
56,F,Married,High,154.09,Furniture,Inquiry,Unresolved,37,Website,1
56,F,Married,High,254.22,Books,Inquiry,Unresolved,37,Website,1
57,F,Divorced,High,382.15,Furniture,Complaint,Unresolved,39,Online Banking,0
57,F,Divorced,High,477.83,Furniture,Complaint,Unresolved,39,Online Banking,0
57,F,Divorced,High,19.8,Groceries,Complaint,Unresolved,39,Online Banking,0
57,F,Divorced,High,125.66,Furniture,Complaint,Unresolved,39,Online Banking,0
57,F,Divorced,High,11.82,Clothing,Complaint,Unresolved,39,Online Banking,0
41,M,Single,Low,345.75,Groceries,Feedback,Resolved,16,Website,0
41,M,Single,Low,191.96,Electronics,Feedback,Resolved,16,Website,0
41,M,Single,Low,324.99,Clothing,Feedback,Resolved,16,Website,0
41,M,Single,Low,488.22,Clothing,Feedback,Resolved,16,Website,0
41,M,Single,Low,39.34,Groceries,Feedback,Resolved,16,Website,0
41,M,Single,Low,485.84,Clothing,Feedback,Resolved,16,Website,0
41,M,Single,Low,122.1,Groceries,Feedback,Resolved,16,Website,0
41,M,Single,Low,315.55,Furniture,Feedback,Resolved,16,Website,0
41,M,Single,Low,462.1,Books,Feedback,Resolved,16,Website,0
64,M,Divorced,High,97.31,Books,None,No Issue,18,Website,0
64,M,Divorced,High,217.3,Groceries,None,No Issue,18,Website,0
64,M,Divorced,High,64.35,Books,None,No Issue,18,Website,0
64,M,Divorced,High,153.58,Books,None,No Issue,18,Website,0
64,M,Divorced,High,380.48,Groceries,None,No Issue,18,Website,0
42,F,Divorced,Low,247.99,Furniture,Inquiry,Resolved,42,Mobile App,0
42,F,Divorced,Low,463.48,Groceries,Inquiry,Resolved,42,Mobile App,0
42,F,Divorced,Low,218.65,Clothing,Inquiry,Resolved,42,Mobile App,0
42,F,Divorced,Low,89.96,Furniture,Inquiry,Resolved,42,Mobile App,0
42,F,Divorced,Low,402.9,Books,Inquiry,Resolved,42,Mobile App,0
42,F,Divorced,Low,159.75,Furniture,Inquiry,Resolved,42,Mobile App,0
35,F,Divorced,Low,345.79,Groceries,Complaint,Unresolved,19,Mobile App,0
35,F,Divorced,Low,345.79,Groceries,Complaint,Resolved,19,Mobile App,0
35,F,Divorced,Low,457.01,Books,Complaint,Unresolved,19,Mobile App,0
35,F,Divorced,Low,457.01,Books,Complaint,Resolved,19,Mobile App,0
35,F,Divorced,Low,273.08,Groceries,Complaint,Unresolved,19,Mobile App,0
35,F,Divorced,Low,273.08,Groceries,Complaint,Resolved,19,Mobile App,0
35,F,Divorced,Low,414.86,Books,Complaint,Unresolved,19,Mobile App,0
35,F,Divorced,Low,414.86,Books,Complaint,Resolved,19,Mobile App,0
55,M,Widowed,Medium,76.78,Clothing,Complaint,Resolved,12,Mobile App,0
55,M,Widowed,Medium,128.8,Books,Complaint,Resolved,12,Mobile App,0
55,M,Widowed,Medium,431.03,Furniture,Complaint,Resolved,12,Mobile App,0
55,M,Widowed,Medium,485.5,Groceries,Complaint,Resolved,12,Mobile App,0
55,M,Widowed,Medium,21.11,Clothing,Complaint,Resolved,12,Mobile App,0
43,F,Married,Low,330.41,Groceries,Feedback,Resolved,27,Mobile App,0
43,F,Married,Low,392.9,Books,Feedback,Resolved,27,Mobile App,0
43,F,Married,Low,41.46,Groceries,Feedback,Resolved,27,Mobile App,0
31,M,Single,Medium,318.48,Books,Complaint,Resolved,45,Mobile App,1
31,M,Single,Medium,45.91,Furniture,Complaint,Resolved,45,Mobile App,1
31,M,Single,Medium,207.37,Clothing,Complaint,Resolved,45,Mobile App,1
26,M,Widowed,Medium,288.66,Books,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,344.59,Furniture,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,390.78,Electronics,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,415.81,Electronics,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,191.92,Clothing,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,172.02,Groceries,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,348.97,Clothing,Feedback,Unresolved,22,Mobile App,0
26,M,Widowed,Medium,57.85,Groceries,Feedback,Unresolved,22,Mobile App,0
27,F,Widowed,High,56.85,Electronics,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,56.85,Electronics,Inquiry,Unresolved,42,Online Banking,0
27,F,Widowed,High,329.36,Books,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,329.36,Books,Inquiry,Unresolved,42,Online Banking,0
27,F,Widowed,High,467.92,Electronics,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,467.92,Electronics,Inquiry,Unresolved,42,Online Banking,0
27,F,Widowed,High,339.61,Furniture,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,339.61,Furniture,Inquiry,Unresolved,42,Online Banking,0
27,F,Widowed,High,325.01,Electronics,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,325.01,Electronics,Inquiry,Unresolved,42,Online Banking,0
27,F,Widowed,High,183.51,Electronics,Complaint,Unresolved,42,Online Banking,0
27,F,Widowed,High,183.51,Electronics,Inquiry,Unresolved,42,Online Banking,0
38,F,Divorced,Medium,438.71,Books,Inquiry,Resolved,34,Website,0
38,F,Divorced,Medium,438.71,Books,Feedback,Unresolved,34,Website,0
38,F,Divorced,Medium,25.15,Clothing,Inquiry,Resolved,34,Website,0
38,F,Divorced,Medium,25.15,Clothing,Feedback,Unresolved,34,Website,0
38,F,Divorced,Medium,389.21,Clothing,Inquiry,Resolved,34,Website,0
38,F,Divorced,Medium,389.21,Clothing,Feedback,Unresolved,34,Website,0
69,M,Divorced,High,257.88,Books,Complaint,Resolved,38,Website,0
69,M,Divorced,High,257.88,Books,Complaint,Unresolved,38,Website,0
69,M,Divorced,High,448.78,Electronics,Complaint,Resolved,38,Website,0
69,M,Divorced,High,448.78,Electronics,Complaint,Unresolved,38,Website,0
34,M,Divorced,Low,314.38,Clothing,Inquiry,Resolved,23,Online Banking,0
34,M,Divorced,Low,314.38,Clothing,Complaint,Resolved,23,Online Banking,0
34,M,Divorced,Low,101.96,Furniture,Inquiry,Resolved,23,Online Banking,0
34,M,Divorced,Low,101.96,Furniture,Complaint,Resolved,23,Online Banking,0
34,M,Divorced,Low,184.39,Clothing,Inquiry,Resolved,23,Online Banking,0
34,M,Divorced,Low,184.39,Clothing,Complaint,Resolved,23,Online Banking,0
34,M,Divorced,Low,194.45,Books,Inquiry,Resolved,23,Online Banking,0
34,M,Divorced,Low,194.45,Books,Complaint,Resolved,23,Online Banking,0
34,M,Divorced,Low,313.38,Books,Inquiry,Resolved,23,Online Banking,0
34,M,Divorced,Low,313.38,Books,Complaint,Resolved,23,Online Banking,0
69,F,Married,High,460.5,Groceries,None,No Issue,48,Mobile App,0
69,F,Married,High,315.06,Electronics,None,No Issue,48,Mobile App,0
69,F,Married,High,111.98,Groceries,None,No Issue,48,Mobile App,0
69,F,Married,High,127.97,Books,None,No Issue,48,Mobile App,0
69,F,Married,High,210.01,Clothing,None,No Issue,48,Mobile App,0
23,M,Divorced,High,356.54,Clothing,Feedback,Resolved,24,Mobile App,1
23,M,Divorced,High,332.46,Groceries,Feedback,Resolved,24,Mobile App,1
33,M,Widowed,High,383.48,Clothing,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,383.48,Clothing,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,242.66,Furniture,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,242.66,Furniture,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,240.24,Clothing,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,240.24,Clothing,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,111.43,Furniture,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,111.43,Furniture,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,51.23,Electronics,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,51.23,Electronics,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,269.06,Books,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,269.06,Books,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,76.57,Clothing,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,76.57,Clothing,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,298.83,Clothing,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,298.83,Clothing,Feedback,Unresolved,44,Online Banking,0
33,M,Widowed,High,212.9,Electronics,Feedback,Resolved,44,Online Banking,0
33,M,Widowed,High,212.9,Electronics,Feedback,Unresolved,44,Online Banking,0
65,M,Married,Low,135.67,Furniture,Complaint,Unresolved,19,Mobile App,0
65,M,Married,Low,471.59,Books,Complaint,Unresolved,19,Mobile App,0
65,M,Married,Low,172.58,Electronics,Complaint,Unresolved,19,Mobile App,0
18,F,Widowed,Low,97.55,Electronics,Feedback,Resolved,6,Online Banking,0
18,F,Widowed,Low,72,Electronics,Feedback,Resolved,6,Online Banking,0
18,F,Widowed,Low,445.86,Groceries,Feedback,Resolved,6,Online Banking,0
18,F,Widowed,Low,54.72,Electronics,Feedback,Resolved,6,Online Banking,0
18,F,Widowed,Low,452.54,Books,Feedback,Resolved,6,Online Banking,0
18,F,Widowed,Low,198.88,Clothing,Feedback,Resolved,6,Online Banking,0
36,F,Married,Medium,487.83,Clothing,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,489.73,Clothing,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,288.97,Clothing,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,426.1,Furniture,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,413.56,Furniture,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,269.85,Clothing,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,495.59,Books,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,95.14,Groceries,Complaint,Resolved,3,Online Banking,0
36,F,Married,Medium,200.11,Furniture,Complaint,Resolved,3,Online Banking,0
53,F,Married,Low,431.43,Books,Inquiry,Resolved,47,Online Banking,0
53,F,Married,Low,24.88,Groceries,Inquiry,Resolved,47,Online Banking,0
53,F,Married,Low,418.55,Groceries,Inquiry,Resolved,47,Online Banking,0
42,M,Married,Medium,439.79,Electronics,None,No Issue,26,Online Banking,0
42,M,Married,Medium,12.77,Groceries,None,No Issue,26,Online Banking,0
42,M,Married,Medium,90.54,Electronics,None,No Issue,26,Online Banking,0
42,M,Married,Medium,332.93,Furniture,None,No Issue,26,Online Banking,0
42,M,Married,Medium,315.91,Furniture,None,No Issue,26,Online Banking,0
67,F,Widowed,Low,312.32,Electronics,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,339.69,Furniture,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,100.36,Electronics,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,281.66,Groceries,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,310.6,Groceries,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,81.78,Furniture,Complaint,Resolved,20,Website,0
67,F,Widowed,Low,151.94,Groceries,Complaint,Resolved,20,Website,0
69,F,Married,High,329.86,Furniture,Inquiry,Unresolved,38,Mobile App,1
69,F,Married,High,33.36,Clothing,Inquiry,Unresolved,38,Mobile App,1
47,M,Widowed,Medium,93.75,Books,None,No Issue,10,Mobile App,0
47,M,Widowed,Medium,110.57,Books,None,No Issue,10,Mobile App,0
47,M,Widowed,Medium,326.29,Groceries,None,No Issue,10,Mobile App,0
37,M,Single,Low,218.4,Groceries,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,218.4,Groceries,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,305.2,Clothing,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,305.2,Clothing,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,380.34,Groceries,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,380.34,Groceries,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,256.88,Clothing,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,256.88,Clothing,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,325.4,Electronics,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,325.4,Electronics,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,396.79,Books,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,396.79,Books,Inquiry,Resolved,25,Mobile App,0
37,M,Single,Low,330.62,Clothing,Inquiry,Unresolved,25,Mobile App,0
37,M,Single,Low,330.62,Clothing,Inquiry,Resolved,25,Mobile App,0
37,F,Widowed,Low,423.71,Groceries,Feedback,Unresolved,35,Mobile App,0
37,F,Widowed,Low,227.58,Electronics,Feedback,Unresolved,35,Mobile App,0
37,F,Widowed,Low,36.53,Groceries,Feedback,Unresolved,35,Mobile App,0
32,F,Widowed,Low,300.42,Groceries,Complaint,Unresolved,49,Online Banking,0
57,F,Married,High,134.67,Electronics,None,No Issue,24,Online Banking,1
50,F,Married,Medium,283.35,Furniture,None,No Issue,21,Website,0
50,F,Married,Medium,154.22,Furniture,None,No Issue,21,Website,0
50,F,Married,Medium,180.48,Groceries,None,No Issue,21,Website,0
50,F,Married,Medium,49.88,Electronics,None,No Issue,21,Website,0
50,F,Married,Medium,303.45,Clothing,None,No Issue,21,Website,0
50,F,Married,Medium,158.06,Books,None,No Issue,21,Website,0
50,F,Married,Medium,336.93,Furniture,None,No Issue,21,Website,0
19,M,Divorced,Medium,316.09,Books,None,No Issue,34,Website,0
19,M,Divorced,Medium,118.52,Clothing,None,No Issue,34,Website,0
19,M,Divorced,Medium,170.22,Electronics,None,No Issue,34,Website,0
19,M,Divorced,Medium,429.87,Furniture,None,No Issue,34,Website,0
19,M,Divorced,Medium,191.81,Groceries,None,No Issue,34,Website,0
19,M,Divorced,Medium,72.34,Books,None,No Issue,34,Website,0
19,M,Divorced,Medium,298.44,Electronics,None,No Issue,34,Website,0
27,F,Single,Medium,223.89,Electronics,None,No Issue,18,Online Banking,0
27,F,Single,Medium,62.73,Books,None,No Issue,18,Online Banking,0
27,F,Single,Medium,354.86,Groceries,None,No Issue,18,Online Banking,0
50,F,Single,Low,413.93,Groceries,Complaint,Unresolved,19,Online Banking,0
50,F,Single,Low,413.93,Groceries,Feedback,Unresolved,19,Online Banking,0
50,F,Single,Low,469.96,Groceries,Complaint,Unresolved,19,Online Banking,0
50,F,Single,Low,469.96,Groceries,Feedback,Unresolved,19,Online Banking,0
50,F,Single,Low,361.72,Clothing,Complaint,Unresolved,19,Online Banking,0
50,F,Single,Low,361.72,Clothing,Feedback,Unresolved,19,Online Banking,0
50,F,Single,Low,269.01,Furniture,Complaint,Unresolved,19,Online Banking,0
50,F,Single,Low,269.01,Furniture,Feedback,Unresolved,19,Online Banking,0
49,M,Divorced,Medium,23.42,Books,None,No Issue,3,Mobile App,1
49,M,Divorced,Medium,476.36,Electronics,None,No Issue,3,Mobile App,1
49,M,Divorced,Medium,50.08,Furniture,None,No Issue,3,Mobile App,1
28,M,Widowed,Medium,401.25,Groceries,None,No Issue,6,Mobile App,0
41,F,Widowed,Low,218.92,Furniture,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,420.01,Books,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,34.48,Groceries,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,195.81,Groceries,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,64.35,Groceries,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,252.85,Books,None,No Issue,20,Mobile App,0
41,F,Widowed,Low,68.92,Clothing,None,No Issue,20,Mobile App,0
53,F,Married,Low,178.11,Groceries,Feedback,Resolved,22,Online Banking,0
53,F,Married,Low,178.11,Groceries,Complaint,Resolved,22,Online Banking,0
53,F,Married,Low,283.1,Books,Feedback,Resolved,22,Online Banking,0
53,F,Married,Low,283.1,Books,Complaint,Resolved,22,Online Banking,0
29,F,Single,Low,101.59,Clothing,None,No Issue,33,Website,0
29,F,Single,Low,433,Furniture,None,No Issue,33,Website,0
29,F,Single,Low,125.76,Groceries,None,No Issue,33,Website,0
29,F,Single,Low,127.82,Clothing,None,No Issue,33,Website,0
29,F,Single,Low,341.18,Furniture,None,No Issue,33,Website,0
68,F,Married,Low,138.07,Groceries,None,No Issue,14,Mobile App,0
68,F,Married,Low,365.65,Books,None,No Issue,14,Mobile App,0
